,Date,Bexley,Hounslow
406,2001-02-09,27.9,33.8
407,2001-02-10,15.6,21.5
408,2001-02-11,12.1,14.4
409,2001-02-12,16,19.9
410,2001-02-13,27,36
411,2001-02-14,28,37.8
412,2001-02-15,43.9,55.6
413,2001-02-16,24.3,30.8
414,2001-02-17,17.3,27.4
415,2001-02-18,21.4,26.3
416,2001-02-19,30.5,29.8
417,2001-02-20,30.7,39
418,2001-02-21,17.3,20.4
419,2001-02-22,11.2,12.8
420,2001-02-23,12.5,18.4
421,2001-02-24,18.2,22.4
422,2001-02-25,13.1,14.9
423,2001-02-26,13.3,26.4
424,2001-02-27,14.9,28.7
425,2001-02-28,15.3,19.7
426,2001-03-01,12.5,18.3
427,2001-03-02,13.2,23
428,2001-03-03,15.9,26.1
429,2001-03-04,29.9,32.9
430,2001-03-05,41.1,48.9
431,2001-03-06,35.5,38.2
432,2001-03-07,19.3,32.8
433,2001-03-08,14.6,29.4
434,2001-03-09,13.1,21.1
435,2001-03-10,12.3,15.7
436,2001-03-11,9.6,14.3
437,2001-03-12,5.5,13.6
438,2001-03-13,13.7,16.5
439,2001-03-14,15.8,22.6
440,2001-03-15,19.1,26.1
441,2001-03-16,19.5,27.3
442,2001-03-17,9.2,12.3
443,2001-03-18,7,9.7
444,2001-03-19,16,23.4
445,2001-03-20,18.7,25.4
446,2001-03-21,22.1,33.3
447,2001-03-22,23.9,31.9
448,2001-03-23,13.6,22.5
449,2001-03-24,9.9,16.7
450,2001-03-25,21.4,24
451,2001-03-26,24.6,33.1
452,2001-03-27,23.8,30.9
453,2001-03-28,9.1,17.8
454,2001-03-29,14.5,18.7
455,2001-03-30,15.2,20.2
456,2001-03-31,17.8,22.5
457,2001-04-01,13.1,19.2
458,2001-04-02,18.1,27.3
459,2001-04-03,NA,16.7
460,2001-04-04,7.8,13
461,2001-04-05,13.8,20.4
462,2001-04-06,15.7,26.8
463,2001-04-07,10.9,16.5
464,2001-04-08,9.9,13.5
465,2001-04-09,11.7,18.2
466,2001-04-10,12.9,19.1
467,2001-04-11,19.8,24.8
468,2001-04-12,21.7,26.4
469,2001-04-13,15.3,18.8
